entity_name,entity_type,matlab_path,python_path,matlab_code_lines,matlab_comment_markers,mirrored_pairs,comment_ratio,pair_ratio,order_violations,pass_check
Analysis,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/Analysis.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/analysis.py,991,0,0,0.0,0.0,0,True
CIF,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/CIF.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/cif.py,704,0,0,0.0,0.0,0,True
ConfidenceInterval,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/ConfidenceInterval.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/ConfidenceInterval.py,60,0,0,0.0,0.0,0,True
ConfigColl,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/ConfigColl.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/ConfigColl.py,125,0,0,0.0,0.0,0,True
Covariate,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/Covariate.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/Covariate.py,174,0,0,0.0,0.0,0,True
CovColl,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/CovColl.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/CovColl.py,698,0,0,0.0,0.0,0,True
DecodingAlgorithms,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/DecodingAlgorithms.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/DecodingAlgorithms.py,7155,0,0,0.0,0.0,0,True
Events,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/Events.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/events.py,96,0,0,0.0,0.0,0,True
FitResSummary,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/FitResSummary.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/FitResSummary.py,922,0,0,0.0,0.0,0,True
FitResult,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/FitResult.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/FitResult.py,1110,0,0,0.0,0.0,0,True
History,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/History.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/history.py,173,0,0,0.0,0.0,0,True
nspikeTrain,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/nspikeTrain.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/nspikeTrain.py,618,0,0,0.0,0.0,0,True
nstColl,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/nstColl.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/nstColl.py,1080,0,0,0.0,0.0,0,True
SignalObj,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/SignalObj.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/SignalObj.py,1651,0,0,0.0,0.0,0,True
Trial,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/Trial.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/trial.py,733,0,0,0.0,0.0,0,True
TrialConfig,class,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/TrialConfig.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/TrialConfig.py,86,0,0,0.0,0.0,0,True
getPaperDataDirs,function,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/getPaperDataDirs.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/paper_examples.py,63,0,0,0.0,0.0,0,True
nSTAT_Install,function,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/nSTAT_Install.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/nstat_install.py,17,0,0,0.0,0.0,0,True
nstatOpenHelpPage,function,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/nstatOpenHelpPage.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/nstat/nstat_install.py,25,0,0,0.0,0.0,0,True
AnalysisExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples.ipynb,53,83,53,1.5660377358490567,0.6385542168674698,0,True
AnalysisExamples2,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples2.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples2.ipynb,55,77,55,1.4,0.7142857142857143,0,True
ClassDefinitions,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ClassDefinitions.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ClassDefinitions.ipynb,0,22,0,22.0,0.0,0,True
ConfidenceIntervalOverview,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ConfidenceIntervalOverview.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ConfidenceIntervalOverview.ipynb,0,11,0,11.0,0.0,0,True
ConfigCollExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ConfigCollExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ConfigCollExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
CovariateExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovariateExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovariateExamples.ipynb,19,31,19,1.631578947368421,0.6129032258064516,0,True
CovCollExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovCollExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovCollExamples.ipynb,10,20,10,2.0,0.5,0,True
DecodingExample,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExample.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExample.ipynb,57,70,57,1.2280701754385965,0.8142857142857143,0,True
DecodingExampleWithHist,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExampleWithHist.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExampleWithHist.ipynb,55,80,55,1.4545454545454546,0.6875,0,True
DocumentationSetup2025b,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DocumentationSetup2025b.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DocumentationSetup2025b.ipynb,0,35,0,35.0,0.0,0,True
EventsExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/EventsExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/EventsExamples.ipynb,8,11,8,1.375,0.7272727272727273,0,True
Examples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/Examples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/Examples.ipynb,0,27,0,27.0,0.0,0,True
ExplicitStimulusWhiskerData,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ExplicitStimulusWhiskerData.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ExplicitStimulusWhiskerData.ipynb,116,138,116,1.1896551724137931,0.8405797101449275,0,True
FitResSummaryExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/FitResSummaryExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/FitResSummaryExamples.ipynb,0,1,0,1.0,0.0,0,True
FitResult,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/FitResult.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/FitResult.ipynb,1089,1745,1089,1.6023875114784205,0.6240687679083095,0,True
FitResultExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/FitResultExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/FitResultExamples.ipynb,0,1,0,1.0,0.0,0,True
HippocampalPlaceCellExample,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HippocampalPlaceCellExample.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HippocampalPlaceCellExample.ipynb,154,229,154,1.4870129870129871,0.6724890829694323,0,True
HistoryExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HistoryExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HistoryExamples.ipynb,18,26,18,1.4444444444444444,0.6923076923076923,0,True
HybridFilterExample,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HybridFilterExample.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HybridFilterExample.ipynb,288,387,288,1.34375,0.7441860465116279,0,True
mEPSCAnalysis,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/mEPSCAnalysis.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/mEPSCAnalysis.ipynb,47,138,47,2.9361702127659575,0.34057971014492755,0,True
NetworkTutorial,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/NetworkTutorial.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/NetworkTutorial.ipynb,88,152,88,1.7272727272727273,0.5789473684210527,0,True
NeuralSpikeAnalysis_top,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/NeuralSpikeAnalysis_top.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/NeuralSpikeAnalysis_top.ipynb,0,22,0,22.0,0.0,0,True
nSpikeTrainExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSpikeTrainExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSpikeTrainExamples.ipynb,10,16,10,1.6,0.625,0,True
nSTATPaperExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSTATPaperExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSTATPaperExamples.ipynb,1574,2088,1567,1.326556543837357,0.7504789272030651,0,True
nstCollExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nstCollExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nstCollExamples.ipynb,16,22,16,1.375,0.7272727272727273,0,True
PPSimExample,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPSimExample.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPSimExample.ipynb,41,62,41,1.5121951219512195,0.6612903225806451,0,True
PPThinning,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPThinning.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPThinning.ipynb,40,56,40,1.4,0.7142857142857143,0,True
PSTHEstimation,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PSTHEstimation.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PSTHEstimation.ipynb,28,40,28,1.4285714285714286,0.7,0,True
SignalObjExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/SignalObjExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/SignalObjExamples.ipynb,81,98,79,1.2098765432098766,0.8061224489795918,0,True
StimulusDecode2D,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/StimulusDecode2D.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/StimulusDecode2D.ipynb,92,113,92,1.2282608695652173,0.8141592920353983,0,True
temp,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/temp.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/temp.ipynb,11,16,11,1.4545454545454546,0.6875,0,True
TrialConfigExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialConfigExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialConfigExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
TrialExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialExamples.ipynb,25,34,25,1.36,0.7352941176470589,0,True
ValidationDataSet,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ValidationDataSet.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ValidationDataSet.ipynb,77,103,77,1.3376623376623376,0.7475728155339806,0,True
AnalysisExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples.ipynb,53,83,53,1.5660377358490567,0.6385542168674698,0,True
AnalysisExamples2,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples2.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples2.ipynb,55,77,55,1.4,0.7142857142857143,0,True
ConfigCollExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ConfigCollExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ConfigCollExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
CovariateExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovariateExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovariateExamples.ipynb,19,31,19,1.631578947368421,0.6129032258064516,0,True
CovCollExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovCollExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovCollExamples.ipynb,10,20,10,2.0,0.5,0,True
DecodingExample,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExample.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExample.ipynb,57,70,57,1.2280701754385965,0.8142857142857143,0,True
DecodingExampleWithHist,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExampleWithHist.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExampleWithHist.ipynb,55,80,55,1.4545454545454546,0.6875,0,True
EventsExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/EventsExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/EventsExamples.ipynb,8,11,8,1.375,0.7272727272727273,0,True
Examples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/Examples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/Examples.ipynb,0,27,0,27.0,0.0,0,True
ExplicitStimulusWhiskerData,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ExplicitStimulusWhiskerData.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ExplicitStimulusWhiskerData.ipynb,116,138,116,1.1896551724137931,0.8405797101449275,0,True
FitResSummaryExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/FitResSummaryExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/FitResSummaryExamples.ipynb,0,1,0,1.0,0.0,0,True
FitResultExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/FitResultExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/FitResultExamples.ipynb,0,1,0,1.0,0.0,0,True
HippocampalPlaceCellExample,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HippocampalPlaceCellExample.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HippocampalPlaceCellExample.ipynb,154,229,154,1.4870129870129871,0.6724890829694323,0,True
HistoryExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HistoryExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HistoryExamples.ipynb,18,26,18,1.4444444444444444,0.6923076923076923,0,True
HybridFilterExample,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/HybridFilterExample.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/HybridFilterExample.ipynb,288,387,288,1.34375,0.7441860465116279,0,True
mEPSCAnalysis,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/mEPSCAnalysis.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/mEPSCAnalysis.ipynb,47,138,47,2.9361702127659575,0.34057971014492755,0,True
NetworkTutorial,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/NetworkTutorial.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/NetworkTutorial.ipynb,88,152,88,1.7272727272727273,0.5789473684210527,0,True
nSpikeTrainExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSpikeTrainExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSpikeTrainExamples.ipynb,10,16,10,1.6,0.625,0,True
nSTATPaperExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSTATPaperExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSTATPaperExamples.ipynb,1567,2088,1567,1.3324824505424377,0.7504789272030651,0,True
nstCollExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nstCollExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nstCollExamples.ipynb,16,22,16,1.375,0.7272727272727273,0,True
PPSimExample,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPSimExample.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPSimExample.ipynb,41,62,41,1.5121951219512195,0.6612903225806451,0,True
PPThinning,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPThinning.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPThinning.ipynb,40,56,40,1.4,0.7142857142857143,0,True
PSTHEstimation,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PSTHEstimation.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PSTHEstimation.ipynb,28,40,28,1.4285714285714286,0.7,0,True
SignalObjExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/SignalObjExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/SignalObjExamples.ipynb,79,98,79,1.240506329113924,0.8061224489795918,0,True
StimulusDecode2D,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/StimulusDecode2D.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/StimulusDecode2D.ipynb,92,113,92,1.2282608695652173,0.8141592920353983,0,True
TrialConfigExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialConfigExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialConfigExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
TrialExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialExamples.ipynb,25,34,25,1.36,0.7352941176470589,0,True
ValidationDataSet,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ValidationDataSet.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ValidationDataSet.ipynb,77,103,77,1.3376623376623376,0.7475728155339806,0,True
